timestamp,esp1_vib,esp2_vib,esp1_x,esp1_y,esp1_z,esp2_x,esp2_y,esp2_z,Output
2025-09-14 14:52:22,0,0,1598,1321,1397,1855,1535,1411,1
2025-09-14 14:52:23,0,0,1589,1313,1383,1858,1535,1409,1
2025-09-14 14:52:25,0,0,1589,1314,1389,1856,1535,1410,1
2025-09-14 14:52:26,0,0,1555,1200,1333,2045,1577,1280,1
2025-09-14 14:52:27,1,0,1798,1287,1383,1922,1505,1445,1
2025-09-14 14:52:29,1,0,1615,1314,1365,1870,1581,1387,1
2025-09-14 14:52:30,1,0,2000,1356,1237,2253,1462,1584,1
2025-09-14 14:52:31,1,0,1614,1331,1328,2253,1462,1584,1
2025-09-14 14:52:32,1,0,1602,1322,1363,1954,1579,1395,1
2025-09-14 14:52:33,1,0,1514,1339,1354,1747,1618,1273,1
2025-09-14 14:52:35,1,0,1607,1328,1408,1872,1520,1409,1
2025-09-14 14:52:36,1,0,1611,1328,1360,1853,1535,1405,1
2025-09-14 14:52:37,1,0,1689,1319,1345,2438,1455,1618,1
2025-09-14 14:52:39,1,0,1535,1317,1424,1526,1535,1327,1
2025-09-14 14:52:40,1,0,1594,1301,1406,2097,1535,1490,1
2025-09-14 14:52:42,1,0,1599,1310,1378,1762,1526,1392,1
2025-09-14 14:52:43,1,0,1572,1310,1390,1846,1535,1395,1
2025-09-14 14:52:44,1,0,1589,1328,1397,1846,1535,1395,1
2025-09-14 14:52:45,1,0,1577,1312,1437,1807,1535,1372,1
2025-09-14 14:52:47,1,0,1708,1296,1430,1911,1506,1439,1
2025-09-14 14:52:48,1,0,1610,1324,1390,1829,1534,1396,1
2025-09-14 14:52:49,1,0,1593,1315,1395,1831,1527,1395,1
2025-09-14 14:52:51,1,0,1598,1311,1379,1833,1534,1397,1
2025-09-14 14:52:52,1,0,1574,1305,1392,1845,1535,1406,1
2025-09-14 14:52:53,1,0,1574,1305,1392,1855,1535,1395,1
2025-09-14 14:52:54,1,0,1631,1319,1399,1845,1523,1403,1
2025-09-14 14:52:55,1,0,1622,1326,1405,1862,1523,1408,1
2025-09-14 14:52:57,1,0,1616,1328,1397,1855,1531,1405,1
2025-09-14 14:52:58,1,0,1600,1314,1383,1872,1535,1419,1
2025-09-14 14:53:00,1,0,1622,1309,1375,1858,1535,1406,1
2025-09-14 14:53:01,1,0,1535,1327,1375,1823,1515,1402,1
2025-09-14 14:53:02,1,0,1366,1173,1708,1828,1512,1406,1
2025-09-14 14:53:03,1,0,2183,1322,1293,2038,1431,1510,1
2025-09-14 14:53:04,1,0,1597,1326,1410,1838,1535,1393,1
2025-09-14 14:53:06,1,0,1575,1310,1391,1927,1555,1420,1
2025-09-14 14:53:07,1,0,1614,1385,1281,1846,1531,1407,1
2025-09-14 14:53:08,1,0,1626,1318,1410,1840,1535,1401,1
2025-09-14 14:53:10,1,0,1599,1313,1407,1861,1527,1395,1
2025-09-14 14:53:11,1,0,1612,1299,1391,1840,1522,1397,1
2025-09-14 14:53:12,1,0,1595,1299,1386,1876,1535,1408,1
2025-09-14 14:53:13,1,0,1650,1316,1392,1793,1533,1394,1
2025-09-14 14:53:15,1,0,1614,1326,1408,1850,1514,1406,1
2025-09-14 14:53:16,1,0,1562,1296,1441,1819,1559,1375,1
2025-09-14 14:53:17,1,0,1596,1326,1401,1725,1585,1337,1
2025-09-14 14:53:19,1,0,1647,1323,1413,1958,1570,1420,1
2025-09-14 14:53:20,1,0,1711,1311,1390,1827,1535,1393,1
2025-09-14 14:53:21,1,0,1595,1308,1426,1674,1590,1337,1
2025-09-14 14:53:23,1,0,1513,1333,1417,1840,1520,1419,1
2025-09-14 14:53:24,1,0,1715,1311,1375,1934,1503,1457,1
2025-09-14 14:53:25,1,0,1497,1342,1333,1933,1574,1409,1
2025-09-14 14:53:27,1,0,1646,1317,1421,1840,1535,1399,1
2025-09-14 14:53:28,1,0,1586,1297,1415,1891,1501,1437,1
2025-09-14 14:53:29,1,0,1614,1335,1382,1840,1530,1392,1
2025-09-14 14:53:31,1,0,1594,1314,1393,1867,1520,1406,1
2025-09-14 14:53:32,1,0,1558,1331,1398,1845,1515,1411,1
2025-09-14 14:53:33,1,0,1598,1296,1471,1870,1521,1407,1
2025-09-14 14:53:34,1,0,1629,1303,1397,1983,1552,1424,1
2025-09-14 14:53:36,1,0,1584,1317,1389,1759,1486,1401,1
2025-09-14 14:53:37,1,0,1584,1317,1389,1759,1486,1401,1
2025-09-14 14:53:38,1,0,1578,1302,1447,1853,1517,1399,1
2025-09-14 14:53:40,1,0,1527,1316,1422,1619,1561,1339,1
2025-09-14 14:53:41,1,0,1493,1322,1403,1846,1533,1409,1
2025-09-14 14:53:42,1,0,1626,1323,1403,1973,1582,1399,1
2025-09-14 14:53:43,1,0,1613,1328,1407,1906,1530,1421,1
2025-09-14 14:53:45,1,0,1434,1325,1417,1302,1600,1226,1
2025-09-14 14:53:46,1,0,1804,1350,1296,1791,1648,1291,1
2025-09-14 14:53:47,1,0,1597,1307,1475,1733,1568,1346,1
2025-09-14 14:53:49,1,0,1677,1318,1382,1675,1503,1414,1
2025-09-14 14:53:50,1,0,1680,1360,1296,1990,1620,1392,1
2025-09-14 14:53:51,1,0,1699,1288,1421,2073,1517,1471,1
2025-09-14 14:53:53,1,0,1657,1310,1405,2064,1507,1477,1
2025-09-14 14:53:54,1,0,1038,1341,1534,1915,1532,1415,1
2025-09-14 14:53:55,1,0,1616,1329,1359,1701,1600,1323,1
2025-09-14 14:53:57,1,0,1375,1268,1506,1809,1577,1359,1
2025-09-14 14:53:58,1,0,1566,1303,1427,1954,1559,1418,1
2025-09-14 14:54:00,1,0,1249,1269,1583,1853,1517,1428,1
2025-09-14 14:54:01,1,0,1635,1313,1417,1778,1509,1392,1
2025-09-14 14:54:02,1,0,1710,1265,1517,1697,1611,1328,1
2025-09-14 14:54:03,1,0,1586,1324,1367,1927,1522,1441,1
2025-09-14 14:54:05,1,0,1362,1312,1443,1826,1584,1356,1
2025-09-14 14:54:06,1,0,1720,1294,1399,1786,1587,1363,1
2025-09-14 14:54:07,1,0,1367,1363,1335,1943,1535,1429,1
2025-09-14 14:54:09,1,0,1636,1319,1403,1795,1552,1367,1
2025-09-14 14:54:10,1,0,1443,1329,1434,1826,1531,1368,1
2025-09-14 14:54:11,1,0,1389,1339,1418,1825,1535,1380,1
2025-09-14 14:54:13,1,0,1554,1306,1431,1846,1535,1390,1
2025-09-14 14:54:14,1,0,1344,1277,1555,1844,1575,1389,1
2025-09-14 14:54:15,1,1,1427,1390,1297,1856,1555,1405,1
2025-09-14 14:54:17,1,1,1567,1328,1374,1911,1535,1425,1
2025-09-14 14:54:18,1,1,1583,1325,1360,1741,1565,1348,1
2025-09-14 14:54:19,1,0,1562,1314,1387,1821,1535,1388,1
2025-09-14 14:54:21,1,1,1601,1328,1405,1847,1535,1401,1
2025-09-14 14:54:22,1,1,1670,1309,1392,1782,1570,1376,1
2025-09-14 14:54:23,1,1,1573,1328,1394,1862,1535,1413,1
2025-09-14 14:54:25,1,1,1555,1315,1392,1861,1523,1421,1
2025-09-14 14:54:26,1,1,1599,1331,1364,1794,1556,1385,1
2025-09-14 14:54:27,1,1,1602,1317,1408,1846,1533,1400,1
2025-09-14 14:54:28,0,1,1615,1323,1404,1858,1530,1412,1
2025-09-14 14:54:30,0,1,1609,1328,1402,1858,1535,1409,1
2025-09-14 14:54:31,1,1,1613,1313,1419,1861,1559,1396,1
2025-09-14 14:54:32,1,1,1653,1305,1427,1744,1581,1369,1
2025-09-14 14:54:34,1,0,1008,1301,1611,1922,1409,1507,1
2025-09-14 14:54:35,1,0,1008,1301,1611,1995,1489,1453,1
2025-09-14 14:54:36,1,1,1535,1329,1395,1917,1535,1408,1
2025-09-14 14:54:37,1,1,1583,1303,1445,1693,1535,1349,1
2025-09-14 14:54:39,1,1,1504,1304,1419,1730,1535,1377,1
2025-09-14 14:54:40,1,1,1247,1293,1497,1936,1441,1493,1
2025-09-14 14:54:41,1,1,1463,1324,1392,1936,1441,1493,1
2025-09-14 14:54:42,1,1,1244,1296,1642,1926,1490,1454,1
2025-09-14 14:54:43,1,0,2107,1347,1279,1838,1524,1398,1
2025-09-14 14:54:44,1,1,1605,1333,1392,1841,1535,1409,1
2025-09-14 14:54:46,1,1,1598,1344,1328,1759,1613,1346,1
2025-09-14 14:54:47,1,1,1487,1355,1379,1749,1495,1422,1
2025-09-14 14:54:48,1,1,1581,1334,1401,1878,1535,1419,1
2025-09-14 14:54:49,1,0,1590,1296,1466,1784,1497,1414,1
2025-09-14 14:54:50,1,1,1605,1310,1387,1872,1578,1395,1
2025-09-14 14:54:51,1,1,1879,1141,1653,1937,1535,1435,1
2025-09-14 14:54:53,1,1,1552,1238,1556,1712,1620,1328,1
2025-09-14 14:54:54,1,1,1601,1292,1451,1777,1706,1326,1
2025-09-14 14:54:55,1,0,1633,1273,1453,1818,1503,1415,1
2025-09-14 14:54:57,1,1,1438,1339,1402,1625,1472,1392,1
2025-09-14 14:54:58,1,1,1596,1330,1393,1900,1526,1429,1
2025-09-14 14:54:59,1,1,994,1232,1840,1838,1535,1408,1
2025-09-14 14:55:00,1,0,994,1232,1840,1801,1638,1328,1
2025-09-14 14:55:01,1,1,1614,1328,1393,1846,1567,1408,1
2025-09-14 14:55:03,1,1,1605,1324,1407,1861,1523,1408,1
2025-09-14 14:55:04,1,0,1289,1248,1632,1979,1481,1472,1
2025-09-14 14:55:05,1,0,1633,1281,1424,1879,1625,1347,1
2025-09-14 14:55:07,1,1,1599,1309,1391,1858,1499,1425,1
2025-09-14 14:55:08,1,0,1575,1326,1409,1851,1535,1399,1
2025-09-14 14:55:09,1,0,1614,1321,1410,1831,1535,1392,1
2025-09-14 14:55:11,1,1,1938,1374,1212,2044,1341,1597,1
2025-09-14 14:55:12,1,0,1656,1322,1387,1771,1479,1407,1
2025-09-14 14:55:13,1,0,1605,1296,1407,1901,1570,1390,1
2025-09-14 14:55:14,1,0,1628,1296,1408,1779,1559,1365,1
2025-09-14 14:55:16,1,1,1589,1307,1396,2034,1572,1430,1
2025-09-14 14:55:17,1,0,1511,1341,1399,1951,1456,1466,1
2025-09-14 14:55:18,1,1,1535,1297,1458,1760,1470,1425,1
2025-09-14 14:55:20,1,0,1580,1323,1415,1851,1531,1406,1
2025-09-14 14:55:21,1,0,1710,1319,1360,1860,1510,1414,1
2025-09-14 14:55:22,1,1,620,1413,1631,1895,1513,1433,1
2025-09-14 14:55:24,1,1,1451,1228,1597,1497,1535,1318,1
2025-09-14 14:55:25,1,1,1602,1340,1386,1920,1674,1344,1
2025-09-14 14:55:27,1,1,1584,1295,1419,1901,1495,1442,1
2025-09-14 14:55:41,1,0,1583,1315,1401,1827,1527,1391,1
2025-09-14 14:55:42,0,1,1593,1328,1404,1840,1535,1401,1
2025-09-14 14:55:44,1,1,1589,1319,1399,1851,1552,1408,1
2025-09-14 14:55:45,1,0,1584,1322,1407,1867,1519,1418,1
2025-09-14 14:55:46,1,0,1584,1313,1400,1835,1523,1407,1
2025-09-14 14:55:48,0,1,1587,1327,1406,1788,1534,1405,1
2025-09-14 14:55:49,0,1,1571,1311,1392,1838,1535,1401,1
2025-09-14 14:55:50,0,1,1571,1310,1392,1827,1531,1390,1
2025-09-14 14:55:52,0,0,1579,1322,1399,1827,1521,1391,1
2025-09-14 14:55:53,0,0,1566,1299,1381,1827,1501,1413,1
2025-09-14 14:55:54,1,1,1598,1310,1367,1856,1519,1410,1
2025-09-14 14:55:55,1,0,1639,1325,1403,1843,1526,1393,1
2025-09-14 14:55:57,0,1,1616,1326,1402,1854,1535,1414,1
2025-09-14 14:55:58,0,0,1606,1325,1405,1856,1535,1409,1
2025-09-14 14:55:59,1,0,1594,1310,1403,1840,1525,1394,1
2025-09-14 14:56:00,1,1,1619,1311,1392,1893,1533,1430,1
2025-09-14 14:56:01,1,1,1601,1296,1410,1851,1535,1410,1
2025-09-14 14:56:03,1,1,1564,1298,1455,1920,1535,1436,1
2025-09-14 14:56:04,1,1,1596,1328,1361,1827,1554,1392,1
2025-09-14 14:56:05,1,1,1589,1303,1392,1838,1532,1401,1
2025-09-14 14:56:07,1,1,1603,1306,1405,1832,1535,1396,1
2025-09-14 14:56:08,1,0,1600,1315,1379,1833,1524,1392,1
2025-09-14 14:56:09,1,1,1591,1301,1387,1845,1535,1405,1
2025-09-14 14:56:11,1,1,1626,1320,1403,1840,1535,1408,1
2025-09-14 14:56:12,1,1,1632,1322,1408,1862,1553,1406,1
2025-09-14 14:56:13,1,1,1607,1325,1395,1841,1535,1408,1
2025-09-14 14:56:14,1,0,1631,1319,1405,1859,1552,1413,1
2025-09-14 14:56:16,1,1,1611,1324,1399,1862,1535,1405,1
2025-09-14 14:56:17,0,1,1584,1307,1392,1838,1552,1400,1
2025-09-14 14:56:18,0,0,1623,1313,1410,1840,1527,1392,1
2025-09-14 14:56:20,0,0,1619,1317,1411,1839,1527,1387,1
2025-09-14 14:56:21,0,1,1616,1310,1405,1842,1535,1398,1
2025-09-14 14:56:22,0,1,1611,1322,1397,1854,1552,1408,1
2025-09-14 14:56:24,0,0,1614,1319,1407,1840,1534,1399,1
2025-09-14 14:56:25,0,0,1642,1315,1408,1830,1525,1382,1
2025-09-14 14:56:26,0,1,1617,1325,1406,1849,1535,1407,1
2025-09-14 14:56:27,0,1,1616,1318,1397,1849,1535,1407,1
2025-09-14 14:56:28,0,1,1611,1300,1390,1849,1535,1403,1
2025-09-14 14:56:29,0,0,1625,1321,1407,1842,1534,1396,1
2025-09-14 14:56:30,0,1,1586,1334,1371,1855,1555,1394,1
2025-09-14 14:56:31,0,0,1581,1307,1394,1839,1533,1391,1
2025-09-14 14:56:33,0,1,1578,1311,1393,1843,1535,1411,1
2025-09-14 14:56:34,0,0,1578,1311,1393,1843,1520,1399,1
2025-09-14 14:56:35,1,1,1613,1322,1397,1855,1535,1413,1
2025-09-14 14:56:37,1,0,1616,1316,1398,1856,1531,1406,1
2025-09-14 14:56:38,1,1,1610,1309,1393,1862,1535,1413,1
2025-09-14 14:56:39,1,1,1578,1306,1395,1851,1535,1409,1
2025-09-14 14:56:40,1,1,1571,1311,1390,1837,1525,1391,1
2025-09-14 14:56:42,0,1,1583,1317,1404,1851,1535,1409,1
2025-09-14 14:56:43,1,0,1575,1310,1418,1826,1524,1396,1
2025-09-14 14:56:44,1,0,1584,1324,1382,1858,1526,1398,1
2025-09-14 14:56:46,1,0,1579,1328,1392,1865,1535,1417,1
2025-09-14 14:56:47,0,1,1566,1310,1399,1847,1533,1414,1
2025-09-14 14:56:48,0,1,1581,1311,1382,1869,1535,1414,1
2025-09-14 14:56:50,0,0,1581,1311,1382,1863,1525,1406,1
2025-09-14 14:56:51,1,1,1585,1315,1425,1872,1525,1424,1
2025-09-14 14:56:52,1,0,1574,1322,1390,1829,1523,1392,1
2025-09-14 14:56:53,1,1,1586,1327,1402,1867,1526,1424,1
2025-09-14 14:56:55,1,1,1590,1317,1397,1856,1535,1408,1
2025-09-14 14:56:56,0,0,1569,1310,1401,1828,1522,1394,1
2025-09-14 14:56:58,0,0,1552,1316,1418,1831,1529,1393,1
2025-09-14 14:56:59,1,0,1579,1296,1402,1844,1552,1407,1
2025-09-14 14:57:00,1,0,1564,1307,1386,1821,1527,1388,1
2025-09-14 14:57:02,0,0,1590,1306,1409,1810,1522,1387,1
2025-09-14 14:57:03,0,1,1564,1311,1392,1829,1535,1393,1
2025-09-14 14:57:04,1,0,1580,1312,1389,1825,1527,1393,1
2025-09-14 14:57:05,0,1,1584,1313,1392,1851,1535,1409,1
2025-09-14 14:57:07,0,1,1570,1312,1389,1827,1532,1394,1
2025-09-14 14:57:08,0,0,1584,1322,1406,1819,1530,1392,1
2025-09-14 14:57:09,0,1,1584,1322,1403,1840,1535,1401,1
2025-09-14 14:57:10,0,1,1574,1313,1399,1845,1535,1406,1
2025-09-14 14:57:12,0,1,1573,1313,1391,1968,1535,1438,1
2025-09-14 14:57:13,0,1,1554,1331,1371,1845,1534,1408,1
2025-09-14 14:57:14,0,1,1570,1323,1397,1854,1535,1409,1
2025-09-14 14:57:16,0,0,1594,1312,1386,1850,1523,1408,1
2025-09-14 14:57:17,0,1,1609,1319,1397,1861,1534,1408,1
2025-09-14 14:57:18,1,0,1577,1315,1392,1841,1531,1399,1
2025-09-14 14:57:20,1,0,1570,1321,1386,1834,1523,1393,1
2025-09-14 14:57:21,1,1,1625,1321,1409,1840,1535,1406,1
2025-09-14 14:57:22,1,0,1595,1307,1372,1808,1535,1382,1
2025-09-14 14:57:24,0,1,1587,1313,1387,1841,1520,1393,1
2025-09-14 14:57:25,0,0,1601,1319,1402,1851,1530,1402,1
2025-09-14 14:57:26,0,0,1584,1308,1403,1856,1530,1394,1
2025-09-14 14:57:27,0,0,1602,1321,1393,1842,1524,1392,1
2025-09-14 14:57:29,0,0,1607,1327,1397,1850,1531,1396,1
2025-09-14 14:57:30,0,1,1584,1320,1377,1858,1552,1411,1
2025-09-14 14:57:31,0,1,1587,1322,1389,1858,1535,1408,1
2025-09-14 14:57:33,1,1,1594,1311,1397,1889,1535,1426,1
2025-09-14 14:57:34,1,0,1577,1309,1394,1862,1531,1408,1
2025-09-14 14:57:35,1,1,1632,1296,1399,1864,1532,1413,1
2025-09-14 14:57:37,1,1,1688,1301,1395,1885,1535,1415,1
2025-09-14 14:57:38,0,0,1627,1310,1424,1841,1488,1413,1
2025-09-14 14:57:39,0,0,1788,1302,1345,1861,1521,1396,1
2025-09-14 14:57:40,0,1,1595,1301,1412,1837,1534,1394,1
2025-09-14 14:57:42,0,1,1593,1294,1424,1850,1529,1403,1
2025-09-14 14:57:43,0,0,1616,1323,1397,1849,1533,1399,1
2025-09-14 14:57:44,1,0,1605,1315,1391,1796,1584,1345,1
2025-09-14 14:57:46,1,1,1621,1279,1446,2146,1472,1534,1
2025-09-14 14:57:47,1,0,1622,1343,1359,1873,1520,1417,1
2025-09-14 14:57:48,1,1,1600,1321,1397,1856,1535,1408,1
2025-09-14 14:57:50,1,1,1606,1326,1397,1844,1535,1407,1
2025-09-14 14:57:51,1,1,1595,1309,1392,1854,1535,1408,1
2025-09-14 14:57:52,1,1,1600,1311,1397,1853,1535,1406,1
2025-09-14 14:57:54,1,0,1607,1330,1407,1840,1525,1399,1
2025-09-14 14:57:55,0,1,1598,1317,1395,1853,1535,1408,1
2025-09-14 14:57:56,1,1,1579,1313,1372,1920,1686,1296,1
2025-09-14 14:57:57,1,1,1586,1311,1382,1856,1535,1413,1
2025-09-14 14:57:59,1,1,1585,1312,1392,1862,1535,1410,1
2025-09-14 14:58:00,1,1,1600,1315,1398,1853,1510,1431,1
2025-09-14 14:58:01,1,1,1602,1315,1392,1856,1535,1411,1
2025-09-14 14:58:03,1,0,1602,1305,1409,1870,1523,1413,1
2025-09-14 14:58:04,1,0,1588,1313,1382,1842,1526,1396,1
2025-09-14 14:58:05,1,1,1585,1307,1392,1856,1535,1408,1
2025-09-14 14:58:06,0,0,1603,1326,1401,1840,1526,1394,1
2025-09-14 14:58:08,0,1,1587,1315,1389,1852,1535,1406,1
2025-09-14 14:58:09,1,0,1610,1309,1392,1846,1518,1411,1
2025-09-14 14:58:10,1,1,1595,1313,1392,1852,1535,1411,1
2025-09-14 14:58:12,1,1,1591,1311,1390,1859,1535,1414,1
2025-09-14 14:58:13,1,0,1606,1326,1408,1840,1522,1393,1
2025-09-14 14:58:14,1,1,1589,1307,1392,1840,1523,1392,1
2025-09-14 14:58:16,1,1,1586,1308,1387,1854,1535,1408,1
2025-09-14 14:58:17,1,1,1579,1309,1386,1855,1535,1405,1
2025-09-14 14:58:18,1,1,1584,1301,1392,2221,1466,1554,1
2025-09-14 14:58:20,1,0,1590,1318,1406,1823,1523,1391,1
2025-09-14 14:58:21,0,0,1573,1315,1393,1827,1521,1391,1
2025-09-14 14:58:22,0,0,1572,1307,1387,1842,1527,1416,1
2025-09-14 14:58:23,1,0,1574,1326,1417,1849,1525,1394,1
2025-09-14 14:58:24,1,1,1665,1334,1367,1866,1535,1414,1
2025-09-14 14:58:26,1,1,1631,1328,1405,1847,1520,1398,1
2025-09-14 14:58:27,1,1,1606,1325,1398,1860,1535,1413,1
2025-09-14 14:58:28,1,0,1610,1325,1408,1837,1527,1397,1
2025-09-14 14:58:30,1,0,1602,1327,1397,1847,1529,1398,1
2025-09-14 14:58:31,0,0,1584,1310,1388,1850,1529,1397,1
